zs[m]              temperatures[K]   pressures[Pa]     rhos[kg/m^3]      kappas[m^2/kg]    gamma1s[1]        nablaads[1]       entropies[J/K]
1.601919258e+05   9.153660256e+03   1.915715870e+04   3.109675567e-04   3.523803004e+00   1.268841267e+00   1.852080226e-01   3.188133077e-04
1.632576552e+05   9.200881292e+03   1.941946692e+04   3.133258323e-04   3.719542720e+00   1.265281677e+00   1.825564057e-01   3.212330454e-04
1.663887613e+05   9.248029610e+03   1.968942769e+04   3.157696382e-04   3.924559768e+00   1.261863232e+00   1.799831390e-01   3.237410097e-04
1.695854260e+05   9.295095121e+03   1.996722432e+04   3.183009643e-04   4.139430006e+00   1.258584857e+00   1.774868071e-01   3.263386857e-04
1.728477464e+05   9.342067639e+03   2.025303729e+04   3.209221243e-04   4.363777595e+00   1.255437255e+00   1.750651002e-01   3.290274986e-04
1.761757342e+05   9.388936841e+03   2.054703288e+04   3.236336306e-04   4.598052791e+00   1.252414107e+00   1.727171987e-01   3.318086327e-04
1.795693547e+05   9.435692775e+03   2.084939581e+04   3.264362212e-04   4.842471651e+00   1.249509215e+00   1.704423130e-01   3.346835493e-04
1.830285345e+05   9.482325997e+03   2.116030515e+04   3.293306716e-04   5.097056695e+00   1.246716142e+00   1.682396978e-01   3.376535842e-04
1.865531672e+05   9.528827761e+03   2.147994280e+04   3.323180688e-04   5.361917108e+00   1.244028568e+00   1.661077589e-01   3.407200786e-04
1.901430910e+05   9.575189940e+03   2.180848924e+04   3.354015534e-04   5.637189803e+00   1.241446972e+00   1.640458703e-01   3.438843141e-04
1.937980807e+05   9.621404910e+03   2.214613204e+04   3.385818619e-04   5.923001378e+00   1.238967657e+00   1.620524675e-01   3.471476466e-04
1.975178656e+05   9.667465550e+03   2.249305737e+04   3.418598460e-04   6.219470778e+00   1.236586690e+00   1.601261199e-01   3.505113707e-04
2.013021365e+05   9.713365252e+03   2.284945140e+04   3.452362329e-04   6.526704246e+00   1.234302163e+00   1.582656056e-01   3.539767492e-04
2.051505587e+05   9.759098013e+03   2.321550738e+04   3.487117763e-04   6.844791347e+00   1.232112050e+00   1.564692259e-01   3.575451205e-04
2.090627701e+05   9.804658357e+03   2.359141860e+04   3.522890661e-04   7.173801441e+00   1.230014086e+00   1.547342390e-01   3.612177894e-04
2.130383731e+05   9.850041343e+03   2.397737546e+04   3.559697128e-04   7.513735750e+00   1.228006840e+00   1.530595571e-01   3.649959818e-04
